№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
1317	Дворовая площадка	улица Верхние Поля, дом 17, корпус 2	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
1318	Дворовая площадка	улица Верхние Поля, дом 19, корпус 2	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
1319	Дворовая площадка	улица Верхние Поля, дом 36, корпус 2	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1320	Дворовая площадка	улица Верхние Поля, дом 42, корпус 1	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1321	Дворовая площадка	улица Верхние Поля, дом 8	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1322	Дворовая площадка	улица Верхняя Красносельская, дом 10	Муниципалитет	(499) 264-65-54	krasncom.ru	ur_krasnosel@cao.mos.ru	ЦАО	Красносельский	дворовые спортивные площадки
1323	Дворовая площадка	улица Верхняя Красносельская, дом 15	Муниципалитет	(499) 264-65-54	krasncom.ru	ur_krasnosel@cao.mos.ru	ЦАО	Красносельский	дворовые спортивные площадки
1324	Дворовая площадка	улица Верхняя Масловка, дом 7	Муниципалитет	(499) 747-71-55	aer.sao.mos.ru	-	САО	Аэропорт	дворовые спортивные площадки
1325	Дворовая площадка	улица Верхняя Первомайская, дом 46/33	Муниципалитет	(499) 165-99-83	izmaylovo-vao.ru	-	ВАО	Измайлово	дворовые спортивные площадки
1326	Дворовая площадка	улица Верхняя Первомайская, дом 6, корпус 5	Муниципалитет	(499) 165-99-83	izmaylovo-vao.ru	-	ВАО	Измайлово	дворовые спортивные площадки
1327	Дворовая площадка	улица Верхняя Сыромятническая, дом 2	Муниципалитет	(499) 764-23-48 (499) 707-24-79	tag-mun.ru sportcentrmsk.ru	-	ЦАО	Таганский	дворовые спортивные площадки
1328	Дворовая площадка	улица Верхоянская, дом 2	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
1329	Дворовая площадка	улица Весенняя, дом 14	Муниципалитет	(495) 488-99-89	-	-	САО	Западное Дегунино	дворовые спортивные площадки
1330	Дворовая площадка	улица Вешних Вод, дом 2, корпус 1	Муниципалитет	(499) 182-99-64	mun-yar.ucoz.ru	mun-yar@ya.ru	СВАО	Ярославский	дворовые спортивные площадки
1331	Дворовая площадка	улица Вешних Вод, дом 2, корпус 2	Муниципалитет	(499) 182-99-63	mun-yar.ucoz.ru	-	СВАО	Ярославский	дворовые спортивные площадки
1332	Дворовая площадка	улица Вешняковская, дом 1, корпус 1	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
1333	Дворовая площадка	улица Вешняковская, дом 26, корпус 2	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
1334	Дворовая площадка	улица Вешняковская, дом 27, корпус 2	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
1335	Дворовая площадка	улица Вешняковская, дом 33	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
1336	Дворовая площадка	улица Вешняковская, дом 37	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
1337	Дворовая площадка	улица Вешняковская, дом 41, корпус 2	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
1338	Дворовая площадка	улица Вешняковская, дом 5, корпус 1	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	открытые ледовые катки на месте спортивных площадок (сезонные)
